path_name
k_ro1_A_demo
index,relative_x,relative_y,absolute_x,absolute_y
0,0,0,24001.08,2643.388
1,-32.37891,-38.10083,23968.7,2605.288
2,-54.23047,-19.56812,23946.85,2623.82
3,-21.83008,18.51392,23979.25,2661.902
4,0.0,0.0,24001.08,2643.388
42
index,relative_x,relative_y,absolute_x,absolute_y,none,none,path_type
0,23968.14,2612.12,-32.9375,-31.26807,0.0,0.0,3
1,23994.24,2642.83,-6.839844,-0.5588379,0.0,0.0,3
2,23994.24,2642.83,-6.839844,-0.5588379,0.0,0.0,3
3,23981.18,2653.907,-19.90039,10.5188,0.0,0.0,3
4,23981.18,2653.907,-19.90039,10.5188,0.0,0.0,3
5,23956.23,2624.584,-44.84961,-18.80444,0.0,0.0,3
6,23956.23,2624.584,-44.84961,-18.80444,0.0,0.0,3
7,23967.94,2614.656,-33.14453,-28.73218,0.0,0.0,3
8,23967.94,2614.656,-33.14453,-28.73218,0.0,0.0,3
9,23991.7,2642.622,-9.378906,-0.7661133,0.0,0.0,3
10,23991.7,2642.622,-9.378906,-0.7661133,0.0,0.0,3
11,23981.39,2651.372,-19.69531,7.983643,0.0,0.0,3
12,23981.39,2651.372,-19.69531,7.983643,0.0,0.0,3
13,23958.77,2624.791,-42.31055,-18.5979,0.0,0.0,3
14,23958.77,2624.791,-42.31055,-18.5979,0.0,0.0,3
15,23967.73,2617.192,-33.35156,-26.19629,0.0,0.0,3
16,23967.73,2617.192,-33.35156,-26.19629,0.0,0.0,3
17,23989.17,2642.415,-11.91602,-0.9733887,0.0,0.0,3
18,23989.17,2642.415,-11.91602,-0.9733887,0.0,0.0,3
19,23981.59,2648.837,-19.48828,5.448242,0.0,0.0,3
20,23981.59,2648.837,-19.48828,5.448242,0.0,0.0,3
21,23961.31,2624.997,-39.77148,-18.39111,0.0,0.0,3
22,23961.31,2624.997,-39.77148,-18.39111,0.0,0.0,3
23,23967.52,2619.728,-33.55859,-23.6604,0.0,0.0,3
24,23967.52,2619.728,-33.55859,-23.6604,0.0,0.0,3
25,23986.63,2642.208,-14.45508,-1.180908,0.0,0.0,3
26,23986.63,2642.208,-14.45508,-1.180908,0.0,0.0,3
27,23981.8,2646.302,-19.28125,2.913086,0.0,0.0,3
28,23981.8,2646.302,-19.28125,2.913086,0.0,0.0,3
29,23963.85,2625.204,-37.23242,-18.18457,0.0,0.0,3
30,23963.85,2625.204,-37.23242,-18.18457,0.0,0.0,3
31,23967.32,2622.264,-33.76563,-21.12451,0.0,0.0,3
32,23967.32,2622.264,-33.76563,-21.12451,0.0,0.0,3
33,23984.09,2642,-16.99414,-1.388184,0.0,0.0,3
34,23984.09,2642,-16.99414,-1.388184,0.0,0.0,3
35,23982.01,2643.766,-19.07617,0.3779297,0.0,0.0,3
36,23982.01,2643.766,-19.07617,0.3779297,0.0,0.0,3
37,23966.39,2625.411,-34.69336,-17.97778,0.0,0.0,3
38,23966.39,2625.411,-34.69336,-17.97778,0.0,0.0,3
39,23967.11,2624.8,-33.97266,-18.58862,0.0,0.0,3
40,23967.11,2624.8,-33.97266,-18.58862,0.0,0.0,3
41,23981.55,2641.793,-19.53125,-1.595459,0.0,0.0,3
